model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,relabel,tag,subtag,assert,Insert,Delete,date
StackOverflow,-1,-1,4,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,4757.57,837.628,2022-09-30.19:11:50
wiki-edits-sh,4579815,6265043,4,4,275.572800,100000,0,1824.464099,100506,119355,87469977,52,62,13608,-1,-1,-1,2022-09-30.19:12:00
wiki-edits-sh,4579815,6265043,4,4,276.809933,0,100000,1300.230839,100836,0,43502031,0,0,0,-1,-1,-1,2022-09-30.19:12:10
wiki-edits-sh,-1,-1,4,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-09-30.19:15:18
DBLP,1824702,8344615,8,4,940.558942,100000,0,48.980418,114415,143960,958209,0,0,16826,-1,-1,-1,2022-09-30.19:15:36
DBLP,1824702,8344615,8,4,950.566077,0,100000,40.398015,111561,0,604639,0,0,0,-1,-1,-1,2022-09-30.19:15:54
DBLP,-1,-1,8,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,403.473,233.323,2022-09-30.19:16:29
Flickr,2302926,22838276,8,4,1272.699731,100000,0,172.748996,107921,127542,8206504,1,1,10984,-1,-1,-1,2022-09-30.19:17:07
Flickr,2302926,22838276,8,4,1296.446790,0,100000,94.024729,106677,0,7415267,0,0,0,-1,-1,-1,2022-09-30.19:17:44
Flickr,-1,-1,8,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,2508.56,486.118,2022-09-30.19:18:54
StackOverflow,2601978,28183518,8,4,2295.754894,100000,0,606.136840,100929,175311,35090713,9,9,47358,-1,-1,-1,2022-09-30.19:20:03
StackOverflow,2601978,28183518,8,4,2283.777655,0,100000,300.447470,98173,0,20977088,0,0,0,-1,-1,-1,2022-09-30.19:21:11
StackOverflow,-1,-1,8,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,4894.66,850.671,2022-09-30.19:23:17
wiki-edits-sh,4579815,6265043,8,4,274.271861,100000,0,1379.433283,99503,116666,76422060,21,21,11913,-1,-1,-1,2022-09-30.19:23:27
wiki-edits-sh,4579815,6265043,8,4,276.763208,0,100000,1301.536848,100570,0,44055840,0,0,0,-1,-1,-1,2022-09-30.19:23:37
wiki-edits-sh,-1,-1,8,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-09-30.19:26:45
DBLP,1824702,8344615,16,4,939.932655,100000,0,60.573462,113974,143167,906674,0,0,16724,-1,-1,-1,2022-09-30.19:27:03
DBLP,1824702,8344615,16,4,954.221999,0,100000,50.570281,112905,0,626090,0,0,0,-1,-1,-1,2022-09-30.19:27:20
DBLP,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,354.776,247.038,2022-09-30.19:27:55
Flickr,2302926,22838276,16,4,1276.995968,100000,0,194.286148,108265,127347,7645190,1,1,11058,-1,-1,-1,2022-09-30.19:28:33
Flickr,2302926,22838276,16,4,1285.120658,0,100000,106.902606,106885,0,6884981,0,0,0,-1,-1,-1,2022-09-30.19:29:11
Flickr,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,2851.11,553.262,2022-09-30.19:30:20
StackOverflow,2601978,28183518,16,4,2337.433223,100000,0,591.030104,100809,174738,27979368,7,7,47114,-1,-1,-1,2022-09-30.19:31:31
StackOverflow,2601978,28183518,16,4,2286.543405,0,100000,282.277930,97181,0,17786884,0,0,0,-1,-1,-1,2022-09-30.19:32:39
StackOverflow,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,5104.38,969.909,2022-09-30.19:34:44
wiki-edits-sh,4579815,6265043,16,4,278.100750,100000,0,1625.007320,98227,117671,77413239,56,63,14480,-1,-1,-1,2022-09-30.19:34:54
wiki-edits-sh,4579815,6265043,16,4,276.878926,0,100000,1255.317181,100495,0,47034650,0,0,0,-1,-1,-1,2022-09-30.19:35:04
wiki-edits-sh,-1,-1,16,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-09-30.19:38:12
DBLP,1824702,8344615,32,4,940.941892,100000,0,79.557837,114074,143027,925459,0,0,16546,-1,-1,-1,2022-09-30.19:38:31
DBLP,1824702,8344615,32,4,951.676418,0,100000,58.564668,113254,0,633491,0,0,0,-1,-1,-1,2022-09-30.19:38:48
DBLP,-1,-1,32,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,351.297,249.753,2022-09-30.19:39:23
Flickr,2302926,22838276,32,4,1279.418465,100000,0,229.473576,108297,125692,7275321,1,1,10739,-1,-1,-1,2022-09-30.19:40:02
Flickr,2302926,22838276,32,4,1293.010632,0,100000,119.861560,106166,0,6625496,0,0,0,-1,-1,-1,2022-09-30.19:40:39
Flickr,-1,-1,32,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,2788.45,536.906,2022-09-30.19:41:48
StackOverflow,2601978,28183518,32,4,2320.155507,100000,0,635.795816,100844,174415,22494685,7,7,46878,-1,-1,-1,2022-09-30.19:42:59
StackOverflow,2601978,28183518,32,4,2305.106746,0,100000,246.999332,96279,0,16296298,0,0,0,-1,-1,-1,2022-09-30.19:44:08
StackOverflow,-1,-1,32,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,5166.27,978.477,2022-09-30.19:46:15
wiki-edits-sh,4579815,6265043,32,4,276.579583,100000,0,1463.441968,98106,114987,70111196,18,19,11625,-1,-1,-1,2022-09-30.19:46:25
wiki-edits-sh,4579815,6265043,32,4,280.122910,0,100000,1253.539242,100459,0,42111652,0,0,0,-1,-1,-1,2022-09-30.19:46:35
wiki-edits-sh,-1,-1,32,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-09-30.19:49:43
DBLP,1824702,8344615,64,4,942.853858,100000,0,117.417736,114686,143780,935390,1,1,16587,-1,-1,-1,2022-09-30.19:50:01
DBLP,1824702,8344615,64,4,955.595305,0,100000,78.241384,114465,0,643661,0,0,0,-1,-1,-1,2022-09-30.19:50:19
DBLP,-1,-1,64,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,345.445,238.972,2022-09-30.19:50:54
Flickr,2302926,22838276,64,4,1279.338830,100000,0,305.370697,108762,125067,7342178,1,1,10891,-1,-1,-1,2022-09-30.19:51:32
Flickr,2302926,22838276,64,4,1297.926159,0,100000,131.459530,107413,0,7098957,0,0,0,-1,-1,-1,2022-09-30.19:52:10
Flickr,-1,-1,64,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,2669.48,495.584,2022-09-30.19:53:19
StackOverflow,2601978,28183518,64,4,2330.938605,100000,0,750.773414,100918,174051,20584415,10,10,46742,-1,-1,-1,2022-09-30.19:54:30
