model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,assert,date
rmat-1m-8m,999760,7810950,1,3,379.666942,100000,0,262.242825,99503,133417,28866258,632690,-1,-1,2021-09-28.05:19:11
rmat-1m-8m,999760,7810950,1,13,379.733457,100000,0,261.25451,99503,117942,23441922,109649,9,-1,2021-09-28.05:25:16
rmat-1m-8m,999760,7810950,1,2,417.684405,100000,0,338.678605,99503,119821,28592004,0,-1,-1,2021-09-28.06:02:02
rmat-1m-8m,999760,7810950,1,3,382.175106,0,100000,362.415146,99503,0,20375246,99503,-1,-1,2021-09-28.06:08:29
rmat-1m-8m,999760,7810950,1,2,419.086757,0,100000,352.442602,99503,0,40750492,0,-1,-1,2021-09-28.06:15:16
rmat-1m-8m,999760,7810950,1,3,380.907698,100000,0,263.578483,99503,133417,28866258,632690,-1,-1,2021-09-28.06:21:42
rmat-1m-8m,999760,7810950,1,13,378.450728,100000,0,257.717769,99503,117942,23441922,109649,9,-1,2021-09-28.06:27:48
rmat-1m-8m,999760,7810950,1,2,414.33705,100000,0,341.087478,99503,119821,28592004,0,-1,-1,2021-09-28.07:04:34
rmat-1m-8m,999760,7810950,1,3,381.659546,0,100000,362.123646,99503,0,20375246,99503,-1,-1,2021-09-28.07:11:00
rmat-1m-8m,999760,7810950,1,2,420.98158,0,100000,354.970348,99503,0,40750492,0,-1,-1,2021-09-28.07:17:47
rmat-1m-8m,999760,7810950,1,3,391.297656,100000,0,269.019261,99503,133417,28866258,632690,-1,-1,2021-09-29.09:59:53
rmat-1m-8m,999760,7810950,1,13,384.494826,100000,0,261.044668,99503,117942,23441922,109649,9,-1,2021-09-29.10:06:03
rmat-1m-8m,999760,7810950,1,2,421.815256,100000,0,346.235012,99503,119821,28592004,0,-1,-1,2021-09-29.10:12:55
rmat-1m-8m,999760,7810950,1,3,385.951282,0,100000,363.856607,99503,0,20375246,99503,-1,-1,2021-09-29.10:19:25
rmat-1m-8m,999760,7810950,1,2,422.797127,0,100000,355.236929,99503,0,40750492,0,-1,-1,2021-09-29.10:26:14
rmat-1m-8m,999760,7810950,1,3,383.40662,100000,0,267.946935,99503,133417,28866258,632690,-1,-1,2021-09-29.10:32:41
rmat-1m-8m,999760,7810950,1,13,385.362719,100000,0,264.655116,99503,117942,23441922,109649,9,-1,2021-09-29.10:38:48
rmat-1m-8m,999760,7810950,1,2,420.0792,100000,0,345.111453,99503,119821,28592004,0,-1,-1,2021-09-29.10:45:39
rmat-1m-8m,999760,7810950,1,3,387.314086,0,100000,368.163447,99503,0,20375246,99503,-1,-1,2021-09-29.10:52:07
rmat-1m-8m,999760,7810950,1,2,423.426253,0,100000,354.501036,99503,0,40750492,0,-1,-1,2021-09-29.10:58:56
rmat-1m-8m,999760,7810950,1,3,383.388361,100000,0,268.243141,99503,133417,28866258,632690,-1,-1,2021-09-29.11:05:24
rmat-1m-8m,999760,7810950,1,13,386.788181,100000,0,267.97536,99503,117942,23441922,109649,9,-1,2021-09-29.11:11:31
rmat-1m-8m,999760,7810950,1,2,417.61909,100000,0,343.22024,99503,119821,28592004,0,-1,-1,2021-09-29.11:18:22
rmat-1m-8m,999760,7810950,1,3,388.856372,0,100000,366.547267,99503,0,20375246,99503,-1,-1,2021-09-29.11:24:50
rmat-1m-8m,999760,7810950,1,2,422.209439,0,100000,353.569096,99503,0,40750492,0,-1,-1,2021-09-29.11:31:38
ba-1m-8m,1000000,7999964,1,3,570.353226,100000,0,166.740938,22169,166722,1856147,358468,-1,-1,2021-09-27.15:43:24
er-1m-8m,1000000,8000000,1,3,869.938095,100000,0,82.977902,39510,66758,664169,434218,-1,-1,2021-09-27.15:44:14
ba-1m-8m,1000000,7999964,1,13,556.014407,100000,0,233.989432,22169,156375,1711731,104530,4,-1,2021-09-27.15:49:31
er-1m-8m,1000000,8000000,1,13,868.047985,100000,0,120.591793,39510,62720,631097,53556,5,-1,2021-09-27.15:50:21
ba-1m-8m,1000000,7999964,1,2,635.01175,100000,0,1230.897195,22169,111826,1856147,0,-1,-1,2021-09-27.16:25:46
er-1m-8m,1000000,8000000,1,2,937.833222,100000,0,336.408901,39510,55197,664169,0,-1,-1,2021-09-27.16:26:50
ba-1m-8m,1000000,7999964,1,3,565.962003,0,100000,34.794876,22169,0,155486,22169,-1,-1,2021-09-27.16:32:48
er-1m-8m,1000000,8000000,1,3,869.838494,0,100000,39.325953,39510,0,435368,39510,-1,-1,2021-09-27.16:33:39
ba-1m-8m,1000000,7999964,1,2,638.80432,0,100000,260.742852,22169,0,310972,0,-1,-1,2021-09-27.16:39:07
er-1m-8m,1000000,8000000,1,2,944.517258,0,100000,388.417696,39510,0,870736,0,-1,-1,2021-09-27.16:40:12
ba-1m-8m,1000000,7999964,1,3,564.089471,100000,0,159.238868,22169,166722,1856147,358468,-1,-1,2021-09-27.16:46:08
er-1m-8m,1000000,8000000,1,3,866.507926,100000,0,83.587297,39510,66758,664169,434218,-1,-1,2021-09-27.16:46:58
ba-1m-8m,1000000,7999964,1,13,551.821627,100000,0,232.000847,22169,156375,1711731,104530,4,-1,2021-09-27.16:52:15
er-1m-8m,1000000,8000000,1,13,857.843528,100000,0,120.018359,39510,62720,631097,53556,5,-1,2021-09-27.16:53:05
ba-1m-8m,1000000,7999964,1,2,634.801338,100000,0,1227.365295,22169,111826,1856147,0,-1,-1,2021-09-27.17:28:28
