model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,assert,date
er-1m-8m,1000000,8000000,1,3,1042.287349,100000,0,92.764216,39216,66819,664111,430096,-1,-1,2021-09-29.16:03:27
livej,4847571,68993773,1,3,5515.573329,100000,0,301.786875,111722,157679,11159149,772747,-1,-1,2021-09-29.16:04:27
patent,6009555,16518948,1,3,3523.433543,100000,0,226.416423,106134,182299,2411859,1026591,-1,-1,2021-09-29.16:05:05
pokec,1632804,30622564,1,3,2109.007792,100000,0,240.936585,86558,147960,6077359,720074,-1,-1,2021-09-29.16:05:36
rmat-1m-8m,999760,7810950,1,3,507.102029,100000,0,307.947356,99801,133430,28795241,634460,-1,-1,2021-09-29.16:05:40
ssca2,1048577,157877986,1,3,1336.059179,100000,0,2587.281233,1589767,1681392,126118310,11902373,-1,-1,2021-09-29.16:06:54
wiki-links,5710993,130160392,1,3,10053.511544,100000,0,884.104640,187062,216895,56268779,763403,-1,-1,2021-09-29.16:09:36
wikitalk,2394385,5021410,1,3,576.735190,100000,0,251.958764,99914,108710,12923523,1070489,-1,-1,2021-09-29.16:09:40
wiki_talk_en,2987536,24981163,1,3,899.698513,100000,0,372.392941,100033,109678,21927346,934547,-1,-1,2021-09-29.16:09:48
ba-1m-8m,1000000,7999964,1,13,700.918160,100000,0,416.484526,22059,156044,1699979,104062,4,-1,2021-09-29.16:09:53
baidu,2141301,17794839,1,13,1698.221363,100000,0,271.289127,98387,123005,8039135,112480,5,-1,2021-09-29.16:10:24
dbpedia,3966925,13820853,1,13,1879.918245,100000,0,163.384154,100893,124274,1559978,114710,3,-1,2021-09-29.16:10:44
er-1m-8m,1000000,8000000,1,13,977.903054,100000,0,128.901669,40098,63328,637568,52979,4,-1,2021-09-29.16:10:54
livej,4847571,68993773,1,13,5502.567698,100000,0,363.624607,110760,150701,9926140,134273,5,-1,2021-09-29.16:11:56
patent,-1,-1,1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-09-29.16:41:56
pokec,1632804,30622564,1,13,2350.631310,100000,0,287.454319,85553,132781,5122087,114198,4,[0m,,2021-09-29.16:42:27
rmat-1m-8m,999760,7810950,1,13,499.815932,100000,0,309.541978,99542,118087,23470784,109754,10,[0m,,2021-09-29.16:42:31
ssca2,1048577,157877986,1,13,1359.840093,100000,0,2082.690572,1590050,1593863,120656483,2345606,5,-1,2021-09-29.16:43:44
wiki-links,5710993,130160392,1,13,10631.545673,100000,0,1155.657558,187283,210169,53326183,200201,4,-1,2021-09-29.16:46:27
wikitalk,2394385,5021410,1,13,653.629901,100000,0,249.450014,100573,105369,12596140,103203,9,-1,2021-09-29.16:46:31
wiki_talk_en,2987536,24981163,1,13,1142.675504,100000,0,371.201196,100103,105278,18718617,102970,8,-1,2021-09-29.16:46:39
ba-1m-8m,1000000,7999964,1,2,762.156329,100000,0,1524.257908,21963,111989,1862796,0,-1,-1,2021-09-29.16:46:56
baidu,2141301,17794839,1,2,1611.036163,100000,0,445.765661,98448,119376,9968446,0,-1,-1,2021-09-29.16:47:29
dbpedia,3966925,13820853,1,2,2077.030073,100000,0,369.315606,101501,117892,1815730,0,-1,-1,2021-09-29.16:47:52
er-1m-8m,1000000,8000000,1,2,969.683757,100000,0,358.606005,39339,54849,659910,0,-1,-1,2021-09-29.16:48:14
livej,4847571,68993773,1,2,4998.587799,100000,0,599.512950,115750,143385,11535811,0,-1,-1,2021-09-29.16:49:22
patent,6009555,16518948,1,2,3567.146681,100000,0,773.556573,105211,154639,2356058,0,-1,-1,2021-09-29.16:50:09
pokec,1632804,30622564,1,2,1991.511786,100000,0,624.064755,85987,126140,6042842,0,-1,-1,2021-09-29.16:50:44
rmat-1m-8m,999760,7810950,1,2,513.444161,100000,0,363.100018,99309,119222,27987955,0,-1,-1,2021-09-29.16:50:49
ssca2,1048577,157877986,1,2,1231.964947,100000,0,2457.035605,1594353,1656952,125741791,0,-1,-1,2021-09-29.16:52:10
wiki-links,5710993,130160392,1,2,8645.236476,100000,0,1141.123613,187981,204232,54589644,0,-1,-1,2021-09-29.16:55:00
wikitalk,2394385,5021410,1,2,730.918617,100000,0,326.413951,99944,105048,12717527,0,-1,-1,2021-09-29.16:55:13
wiki_talk_en,2987536,24981163,1,2,1103.883355,100000,0,508.299800,100093,105767,21262830,0,-1,-1,2021-09-29.16:55:23
ba-1m-8m,1000000,7999964,1,3,732.746703,0,100000,45.722979,22169,0,155480,22169,-1,-1,2021-09-29.16:55:28
baidu,2141301,17794839,1,3,1716.356130,0,100000,390.935110,102897,0,10382404,102897,-1,-1,2021-09-29.16:56:00
dbpedia,3966925,13820853,1,3,1851.033485,0,100000,660.033412,101123,0,1105146,101123,-1,-1,2021-09-29.16:56:20
er-1m-8m,1000000,8000000,1,3,1008.391529,0,100000,51.496978,39351,0,433834,39351,-1,-1,2021-09-29.16:56:31
