model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,assert,date
wikitalk,2394385,5021410,1,2,530.559243,0,100000,377.627969,100636,0,22021274,0,-1,2021-09-15.22:21:24
wiki_talk_en,2987536,24981163,1,2,747.575740,0,100000,674.928965,99913,0,34367444,0,-1,2021-09-15.22:21:33
ba-1m-8m,1000000,7999964,1,3,750.321967,0,100000,34.182110,22072,0,154771,22072,-1,2021-09-15.22:21:39
baidu,2141301,17794839,1,3,1324.045352,0,100000,241.376099,98677,0,6120347,98677,-1,2021-09-15.22:22:04
dbpedia,3966925,13820853,1,3,1620.179457,0,100000,553.012682,101332,0,1102575,101332,-1,2021-09-15.22:22:21
er-1m-8m,1000000,8000000,1,3,1263.295330,0,100000,39.176483,39850,0,438470,39850,-1,2021-09-15.22:22:30
livej,4847571,68993773,1,3,4825.161280,0,100000,196.100665,113503,0,8778053,113503,-1,2021-09-15.22:23:21
patent,6009555,16518948,1,3,3544.921826,0,100000,84.903385,108365,0,1520989,108365,-1,2021-09-15.22:23:54
pokec,1632804,30622564,1,3,1849.650360,0,100000,117.987193,86439,0,3402021,86439,-1,2021-09-15.22:24:18
rmat-1m-8m,999760,7810950,1,3,395.324474,0,100000,390.946266,100891,0,22880461,100891,-1,2021-09-15.22:24:24
roadNetCA,1971281,5533214,1,3,579.297320,0,100000,21.972475,61830,0,98275,61830,-1,2021-09-15.22:24:27
ssca2,1048577,157877986,1,3,2165.414505,0,100000,1076.851240,1596424,0,120842971,1596424,-1,2021-09-15.22:25:25
wiki-links,5710993,130160392,1,3,9898.562890,0,100000,1035.737656,190977,0,51676930,190977,-1,2021-09-15.22:27:39
wikitalk,2394385,5021410,1,3,465.504628,0,100000,331.828649,100624,0,11026085,100624,-1,2021-09-15.22:27:43
wiki_talk_en,2987536,24981163,1,3,679.382679,0,100000,642.208798,100183,0,17398924,100183,-1,2021-09-15.22:27:50
ba-1m-8m,1000000,7999964,1,2,639.099230,100000,0,1173.837281,22014,110780,1809370,0,-1,2021-09-15.22:28:07
baidu,2141301,17794839,1,2,1332.763352,100000,0,386.782268,98651,119876,10186267,0,-1,2021-09-15.22:28:34
dbpedia,3966925,13820853,1,2,1608.716404,100000,0,319.758661,100843,117406,1670205,0,-1,2021-09-15.22:28:53
er-1m-8m,1000000,8000000,1,2,1074.962355,100000,0,334.074812,39712,55217,663757,0,-1,2021-09-15.22:29:11
livej,4847571,68993773,1,2,4720.782824,100000,0,512.242999,113982,141770,11350745,0,-1,2021-09-15.22:30:08
patent,6009555,16518948,1,2,3353.594158,100000,0,659.001032,106390,156046,2414593,0,-1,2021-09-15.22:30:49
pokec,1632804,30622564,1,2,1749.451495,100000,0,517.687231,86577,126579,6003887,0,-1,2021-09-15.22:31:17
rmat-1m-8m,999760,7810950,1,2,416.623257,100000,0,351.446370,100539,120050,30221815,0,-1,2021-09-15.22:31:23
roadNetCA,1971281,5533214,1,2,604.887783,100000,0,454.980456,60987,204061,619070,0,-1,2021-09-15.22:31:30
ssca2,1048577,157877986,1,2,1219.077257,100000,0,2159.121206,1590410,1649470,125346336,0,-1,2021-09-15.22:32:34
wiki-links,5710993,130160392,1,2,9220.382083,100000,0,1031.280706,189228,205963,55982095,0,-1,2021-09-15.22:34:56
wikitalk,2394385,5021410,1,2,530.473905,100000,0,294.997162,100697,105795,14713213,0,-1,2021-09-15.22:35:00
wiki_talk_en,2987536,24981163,1,2,744.712651,100000,0,396.845542,100174,105783,21193174,0,-1,2021-09-15.22:35:08
ba-1m-8m,1000000,7999964,1,3,757.906542,100000,0,163.898861,-33054,166977,1850600,295381,-1,2021-09-15.22:35:15
baidu,2141301,17794839,1,3,1320.378369,100000,0,205.862005,85464,131694,9934350,660526,[0m,,2021-09-15.22:35:39
dbpedia,3966925,13820853,1,3,1608.211009,100000,0,126.309335,90177,128224,1697510,920577,-1,2021-09-15.22:35:56
er-1m-8m,1000000,8000000,1,3,1250.350100,100000,0,85.195850,28063,66787,664167,397039,-1,2021-09-15.22:36:05
livej,4847571,68993773,1,3,4839.002584,100000,0,248.973848,95044,159621,11259132,690651,-1,2021-09-15.22:36:56
patent,6009555,16518948,1,3,3521.162153,100000,0,197.049762,83129,184730,2452470,925028,-1,2021-09-15.22:37:29
pokec,1632804,30622564,1,3,1842.470708,100000,0,197.192739,66533,149507,6173442,656375,[0m,,2021-09-15.22:37:54
rmat-1m-8m,999760,7810950,1,3,390.298906,100000,0,279.259073,87750,133595,30635481,515615,[0m,,2021-09-15.22:37:59
roadNetCA,1971281,5533214,1,3,572.712873,100000,0,104.732412,13879,255703,627449,837650,-1,2021-09-15.22:38:02
ssca2,1048577,157877986,1,3,2171.487932,100000,0,2426.610333,1545247,1692539,126953132,11915061,[0m,,2021-09-15.22:39:01
wiki-links,5710993,130160392,1,3,9953.163174,100000,0,775.366871,173719,215197,56889625,656352,-1,2021-09-15.22:41:16
wikitalk,2394385,5021410,1,3,455.930561,100000,0,214.519509,97068,109459,14910632,783713,-1,2021-09-15.22:41:19
wiki_talk_en,2987536,24981163,1,3,674.432148,100000,0,277.488822,96031,109716,21102063,661189,[0m,,2021-09-15.22:41:26
ba-1m-8m,1000000,7999964,1,2,622.003365,0,100000,251.970346,21867,0,306826,0,-1,2021-09-15.22:41:41
baidu,2141301,17794839,1,2,1341.505296,0,100000,376.427078,98866,0,12196260,0,-1,2021-09-15.22:42:07
dbpedia,3966925,13820853,1,2,1612.455885,0,100000,787.134290,100867,0,1958552,0,-1,2021-09-15.22:42:27
er-1m-8m,1000000,8000000,1,2,1077.876224,0,100000,371.707266,38786,0,852418,0,-1,2021-09-15.22:42:45
livej,4847571,68993773,1,2,4713.115078,0,100000,353.884070,113476,0,16783464,0,-1,2021-09-15.22:43:42
patent,6009555,16518948,1,2,3372.484202,0,100000,360.251216,105673,0,2954250,0,-1,2021-09-15.22:44:23
pokec,1632804,30622564,1,2,1760.112241,0,100000,337.904358,86271,0,6760246,0,-1,2021-09-15.22:44:51
rmat-1m-8m,999760,7810950,1,2,415.122431,0,100000,367.534960,100444,0,45293120,0,-1,2021-09-15.22:44:57
roadNetCA,1971281,5533214,1,2,610.952988,0,100000,179.885299,60809,0,191724,0,-1,2021-09-15.22:45:03
ssca2,1048577,157877986,1,2,1206.405276,0,100000,1795.911068,1595515,0,241557228,0,-1,2021-09-15.22:46:07
wiki-links,5710993,130160392,1,2,9321.049714,0,100000,1063.391216,186120,0,95190736,0,-1,2021-09-15.22:48:29
