model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,relabel,tag,subtag,assert,Insert,Delete,date
roadNetCA,1971281,2766607,16,4,823.626380,0,100000,34.382228,59391,0,95002,0,0,0,-1,-1,-1,2022-10-07.17:38:22
roadNetCA,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,424.336,143.142,2022-10-07.17:38:30
baidu,2141301,17014946,16,4,1523.076282,100000,0,129.521922,98168,132178,6581134,9,10,21332,-1,-1,-1,2022-10-07.17:39:01
baidu,2141301,17014946,16,4,1516.333061,0,100000,86.309402,93609,0,3766586,0,0,0,-1,-1,-1,2022-10-07.17:39:31
baidu,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,1048.94,609.909,2022-10-07.17:40:28
dbpedia,3966925,12610982,16,4,1969.986124,100000,0,81.414368,98472,125583,1397381,7,8,16593,-1,-1,-1,2022-10-07.17:40:49
dbpedia,3966925,12610982,16,4,1945.136677,0,100000,435.393612,100801,0,1063594,0,0,0,-1,-1,-1,2022-10-07.17:41:09
dbpedia,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,673.496,409.373,2022-10-07.17:41:52
livej,4847571,42851237,16,4,4953.452383,100000,0,176.374546,114365,160310,6690480,12,12,28210,-1,-1,-1,2022-10-07.17:42:58
livej,4847571,42851237,16,4,4900.691273,0,100000,71.122509,102914,0,4204763,0,0,0,-1,-1,-1,2022-10-07.17:44:01
livej,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,545.63,524.429,2022-10-07.17:46:26
roadNetCA,1971281,2766607,16,4,820.706447,100000,0,67.051023,49295,246767,524627,102,103,143697,-1,-1,-1,2022-10-07.17:46:30
roadNetCA,1971281,2766607,16,4,825.995255,0,100000,31.747899,58884,0,94367,0,0,0,-1,-1,-1,2022-10-07.17:46:34
roadNetCA,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,405.604,142.379,2022-10-07.17:46:41
baidu,2141301,17014946,16,4,1532.257966,100000,0,133.227335,97326,131069,6540560,4,4,21171,-1,-1,-1,2022-10-07.17:47:13
baidu,2141301,17014946,16,4,1523.784663,0,100000,81.512326,92960,0,2986609,0,0,0,-1,-1,-1,2022-10-07.17:47:42
baidu,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,981.07,584.822,2022-10-07.17:48:40
