model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,assert,date
baidu,2141301,17794839,1,3,1329.146124,100000,0,312.145696,102467,136717,14593239,822717,-1,2021-08-21.17:44:09
dbpedia,3966925,13820853,1,3,1615.955216,100000,0,135.644220,101570,128065,1862282,1121736,-1,2021-08-21.17:44:26
er-1m-8m,1000000,8000000,1,3,1083.424845,100000,0,97.993803,39520,66677,664216,437428,-1,2021-08-21.17:44:35
livej,4847571,68993773,1,3,4833.433847,100000,0,443.355157,113062,160522,11495070,769293,-1,2021-08-21.17:45:27
patent,6009555,16518948,1,3,3542.603334,100000,0,237.627138,107167,181498,2413575,1019889,-1,2021-08-21.17:46:00
pokec,1632804,30622564,1,3,1856.126923,100000,0,223.877526,85175,146083,5965455,719116,-1,2021-08-21.17:46:25
rmat-1m-8m,999760,7810950,1,3,391.680881,100000,0,395.378277,100669,134577,31303000,634020,-1,2021-08-21.17:46:30
ssca2,1048577,157877986,1,3,1960.870140,100000,0,11049.601558,1591948,1681900,126045616,11947889,-1,2021-08-21.17:47:37
wiki-links,5710993,130160392,1,3,9900.758248,100000,0,4436.515682,189755,218965,55325132,781900,-1,2021-08-21.17:49:55
wikitalk,2394385,5021410,1,3,463.122537,100000,0,232.465634,99996,108791,13209454,1059395,-1,2021-08-21.17:49:58
wiki_talk_en,2987536,24981163,1,3,673.764449,100000,0,354.352262,99889,109495,21356207,947194,-1,2021-08-21.17:50:06
ba-1m-8m,1000000,7999964,1,2,655.911267,0,100000,249.475516,21922,0,153791,0,-1,2021-08-21.17:50:22
baidu,2141301,17794839,1,2,1394.426190,0,100000,372.486288,98938,0,6087361,0,-1,2021-08-21.17:50:48
dbpedia,3966925,13820853,1,2,1688.346543,0,100000,786.152519,100870,0,1095438,0,-1,2021-08-21.17:51:08
er-1m-8m,1000000,8000000,1,2,962.164697,0,100000,379.082013,39383,0,432675,0,-1,2021-08-21.17:51:26
livej,4847571,68993773,1,2,4909.392394,0,100000,347.031443,112061,0,8030078,0,-1,2021-08-21.17:52:24
patent,6009555,16518948,1,2,3490.881958,0,100000,368.667351,108155,0,1546343,0,-1,2021-08-21.17:53:04
pokec,1632804,30622564,1,2,1861.432644,0,100000,331.013677,85447,0,3323408,0,-1,2021-08-21.17:53:33
rmat-1m-8m,999760,7810950,1,2,434.697540,0,100000,346.116899,99785,0,20545619,0,-1,2021-08-21.17:53:38
ssca2,1048577,157877986,1,2,1038.784970,0,100000,1702.579860,1591806,0,120589117,0,-1,2021-08-21.17:54:42
wiki-links,5710993,130160392,1,2,9645.818491,0,100000,1099.767433,191825,0,52070851,0,-1,2021-08-21.17:57:05
wikitalk,2394385,5021410,1,2,564.277254,0,100000,379.658853,100646,0,11229705,0,-1,2021-08-21.17:57:09
wiki_talk_en,2987536,24981163,1,2,786.276066,0,100000,723.077383,101101,0,21178549,0,-1,2021-08-21.17:57:18
ba-1m-8m,1000000,7999964,1,3,741.816418,0,100000,36.348819,21779,0,305730,21779,-1,2021-08-21.17:57:25
baidu,2141301,17794839,1,3,1332.812410,0,100000,238.337179,99045,0,12267892,99045,-1,2021-08-21.17:57:49
dbpedia,3966925,13820853,1,3,1616.752685,0,100000,560.579482,102010,0,2278134,102010,-1,2021-08-21.17:58:06
er-1m-8m,1000000,8000000,1,3,1094.579566,0,100000,41.729983,39738,0,874824,39738,-1,2021-08-21.17:58:16
livej,4847571,68993773,1,3,4834.298905,0,100000,177.463174,114037,0,16928718,114037,-1,2021-08-21.17:59:07
patent,6009555,16518948,1,3,3545.012281,0,100000,82.559891,106562,0,2974384,106562,-1,2021-08-21.17:59:40
pokec,1632804,30622564,1,3,1869.363618,0,100000,115.429761,86046,0,6931886,86046,-1,2021-08-21.18:00:05
rmat-1m-8m,999760,7810950,1,3,394.319062,0,100000,342.256799,100496,0,45524076,100496,-1,2021-08-21.18:00:10
ssca2,1048577,157877986,1,3,1954.290365,0,100000,1052.056549,1590526,0,240753758,1590526,-1,2021-08-21.18:01:07
wiki-links,5710993,130160392,1,3,9987.755808,0,100000,894.341126,183633,0,93461388,183633,-1,2021-08-21.18:03:22
wikitalk,2394385,5021410,1,3,465.813117,0,100000,328.391180,100583,0,22436812,100583,-1,2021-08-21.18:03:25
wiki_talk_en,2987536,24981163,1,3,680.677784,0,100000,613.344520,100141,0,33945370,100141,-1,2021-08-21.18:03:33
ba-1m-8m,1000000,7999964,1,2,663.498894,100000,0,1239.916512,21693,111964,1884470,0,-1,2021-08-21.18:03:50
baidu,2141301,17794839,1,2,1389.838256,100000,0,384.396328,98720,119407,10016325,0,-1,2021-08-21.18:04:16
dbpedia,3966925,13820853,1,2,1684.947817,100000,0,319.763376,101180,116971,1676197,0,-1,2021-08-21.18:04:36
er-1m-8m,1000000,8000000,1,2,958.853559,100000,0,330.163121,39394,54990,661972,0,-1,2021-08-21.18:04:55
livej,4847571,68993773,1,2,4875.341048,100000,0,499.333651,111712,138785,11049355,0,-1,2021-08-21.18:05:52
patent,6009555,16518948,1,2,3488.569201,100000,0,662.206198,104936,154970,2383976,0,-1,2021-08-21.18:06:33
pokec,1632804,30622564,1,2,1828.465530,100000,0,521.828666,85527,125292,5923331,0,-1,2021-08-21.18:07:02
rmat-1m-8m,999760,7810950,1,2,430.210450,100000,0,356.243298,100398,120647,30840009,0,-1,2021-08-21.18:07:07
ssca2,1048577,157877986,1,2,1045.979507,100000,0,2161.739909,1590015,1650998,125415298,0,-1,2021-08-21.18:08:11
wiki-links,5710993,130160392,1,2,9683.192218,100000,0,1020.114572,188755,204597,55335600,0,-1,2021-08-21.18:10:34
wikitalk,2394385,5021410,1,2,556.791634,100000,0,295.908309,100766,105869,14300160,0,-1,2021-08-21.18:10:38
wiki_talk_en,2987536,24981163,1,2,782.741304,100000,0,455.269025,101084,106745,25544587,0,-1,2021-08-21.18:10:47
ba-1m-8m,1000000,7999964,1,3,753.697554,100000,0,258.394916,22120,166330,1862900,366434,-1,2021-08-21.18:10:54
baidu,2141301,17794839,1,3,1330.847137,100000,0,217.024564,98353,132771,10142424,811361,-1,2021-08-21.18:11:18
dbpedia,3966925,13820853,1,3,1618.233135,100000,0,136.777951,101907,128782,1842772,1124767,-1,2021-08-21.18:11:35
er-1m-8m,1000000,8000000,1,3,1083.337699,100000,0,98.175933,39008,66412,658527,437713,-1,2021-08-21.18:11:44
livej,4847571,68993773,1,3,4830.383923,100000,0,459.888683,113992,160559,11797300,776432,-1,2021-08-21.18:12:36
patent,6009555,16518948,1,3,3540.976961,100000,0,249.751053,105716,182271,2559859,1013231,-1,2021-08-21.18:13:09
pokec,1632804,30622564,1,3,1873.181199,100000,0,227.217178,85439,146574,5979034,715295,-1,2021-08-21.18:13:34
rmat-1m-8m,999760,7810950,1,3,389.241069,100000,0,394.267336,100876,134781,31451958,635709,-1,2021-08-21.18:13:39
ssca2,1048577,157877986,1,3,1937.309564,100000,0,11113.306977,1590672,1681307,126105801,11949526,-1,2021-08-21.18:14:46
wiki-links,5710993,130160392,1,3,9927.942283,100000,0,4425.979822,183048,212582,53735728,753571,-1,2021-08-21.18:17:04
wikitalk,2394385,5021410,1,3,463.893810,100000,0,248.937828,100636,109161,14210724,1069332,-1,2021-08-21.18:17:07
wiki_talk_en,2987536,24981163,1,3,677.614423,100000,0,450.632463,101142,111209,26651137,958431,-1,2021-08-21.18:17:15
ba-1m-8m,1000000,7999964,1,2,658.578260,0,100000,252.701386,22017,0,154374,0,-1,2021-08-21.18:17:31
baidu,2141301,17794839,1,2,1391.313867,0,100000,373.233032,99154,0,6145169,0,-1,2021-08-21.18:17:57
dbpedia,3966925,13820853,1,2,1684.992718,0,100000,786.785750,100616,0,1031374,0,-1,2021-08-21.18:18:17
er-1m-8m,1000000,8000000,1,2,960.726541,0,100000,373.460500,39271,0,431485,0,-1,2021-08-21.18:18:35
livej,4847571,68993773,1,2,4871.258333,0,100000,348.701307,110549,0,8155338,0,-1,2021-08-21.18:19:33
patent,6009555,16518948,1,2,3486.804870,0,100000,357.298106,104369,0,1487589,0,-1,2021-08-21.18:20:13
pokec,1632804,30622564,1,2,1832.468869,0,100000,340.005356,86235,0,3410871,0,-1,2021-08-21.18:20:42
rmat-1m-8m,999760,7810950,1,2,432.996853,0,100000,362.308241,100608,0,22747095,0,-1,2021-08-21.18:20:47
ssca2,1048577,157877986,1,2,1040.133764,0,100000,1700.435946,1592601,0,120599669,0,-1,2021-08-21.18:21:50
wiki-links,5710993,130160392,1,2,9661.814050,0,100000,1071.811269,188704,0,51077101,0,-1,2021-08-21.18:24:14
wikitalk,2394385,5021410,1,2,558.207115,0,100000,377.534449,100599,0,11101808,0,-1,2021-08-21.18:24:18
wiki_talk_en,2987536,24981163,1,2,790.819036,0,100000,675.494611,100036,0,17315297,0,-1,2021-08-21.18:24:27
ba-1m-8m,1000000,7999964,1,3,743.552491,0,100000,36.271105,21810,0,305938,21810,-1,2021-08-21.18:24:33
baidu,2141301,17794839,1,3,1333.556438,0,100000,227.206383,97932,0,11612616,97932,-1,2021-08-21.18:24:58
dbpedia,3966925,13820853,1,3,1623.675415,0,100000,558.917677,101178,0,2096164,101178,-1,2021-08-21.18:25:15
er-1m-8m,1000000,8000000,1,3,1091.365775,0,100000,41.297966,39056,0,859556,39056,-1,2021-08-21.18:25:24
livej,4847571,68993773,1,3,4834.697101,0,100000,177.601667,113569,0,17406914,113569,-1,2021-08-21.18:26:16
patent,6009555,16518948,1,3,3553.041888,0,100000,82.838189,107507,0,3010484,107507,-1,2021-08-21.18:26:49
pokec,1632804,30622564,1,3,1864.824087,0,100000,115.472743,87044,0,7031716,87044,-1,2021-08-21.18:27:14
rmat-1m-8m,999760,7810950,1,3,393.550878,0,100000,343.394498,100868,0,45516562,100868,-1,2021-08-21.18:27:18
ssca2,1048577,157877986,1,3,1937.684885,0,100000,1059.112816,1598269,0,241947314,1598269,-1,2021-08-21.18:28:15
wiki-links,5710993,130160392,1,3,9974.750119,0,100000,1092.110637,187747,0,114909402,187747,-1,2021-08-21.18:30:31
