model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,relabel,tag,subtag,assert,Insert,Delete,date
er-1m-8m,-1,-1,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-10-04.21:53:29
er-1m-8m,-1,-1,16,41,-1,700000,700000,-1,-1,-1,-1,-1,-1,-1,-1,5465.31,1704.51,2022-10-04.21:54:02
er-1m-8m,-1,-1,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,`group_id,-1,-1,2022-10-04.22:18:21
er-1m-8m,-1,-1,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-10-04.23:18:21
er-1m-8m,-1,-1,16,41,-1,800000,800000,-1,-1,-1,-1,-1,-1,-1,-1,6025.17,1886.07,2022-10-04.23:18:54
er-1m-8m,-1,-1,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-10-05.00:18:54
er-1m-8m,-1,-1,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-10-05.00:25:36
er-1m-8m,-1,-1,16,41,-1,900000,900000,-1,-1,-1,-1,-1,-1,-1,-1,6266.62,2090.99,2022-10-05.00:26:09
er-1m-8m,-1,-1,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,`group_id,-1,-1,2022-10-05.00:45:29
er-1m-8m,-1,-1,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2022-10-05.00:49:56
er-1m-8m,-1,-1,16,41,-1,1000000,1000000,-1,-1,-1,-1,-1,-1,-1,-1,6322.74,2776.29,2022-10-05.00:50:30
livej,4847571,42851237,16,4,5023.579850,100000,0,165.910468,113629,159269,6435704,6,6,28078,-1,-1,-1,2022-10-05.00:51:35
livej,4847571,42851237,16,4,4980.624494,0,100000,75.872812,104456,0,4302941,0,0,0,-1,-1,-1,2022-10-05.00:52:36
livej,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,587.328,561.217,2022-10-05.00:55:00
livej,4847571,42851237,16,4,4890.733651,200000,0,286.857873,223314,320977,13388527,61,65,62158,-1,-1,-1,2022-10-05.00:56:04
livej,4847571,42851237,16,4,4886.067051,0,200000,144.578811,205654,0,9414271,0,0,0,-1,-1,-1,2022-10-05.00:57:05
livej,-1,-1,16,41,-1,200000,200000,-1,-1,-1,-1,-1,-1,-1,-1,765.794,1009.63,2022-10-05.00:59:29
livej,4847571,42851237,16,4,4845.703423,300000,0,444.866247,331987,484680,21812321,138,167,99368,-1,-1,-1,2022-10-05.01:00:34
livej,4847571,42851237,16,4,4903.616826,0,300000,215.470083,307520,0,15647328,0,0,0,-1,-1,-1,2022-10-05.01:01:35
livej,-1,-1,16,41,-1,300000,300000,-1,-1,-1,-1,-1,-1,-1,-1,1023.89,1428.51,2022-10-05.01:04:01
livej,4847571,42851237,16,4,4848.518463,400000,0,544.080441,438828,647578,28873713,210,240,137777,-1,-1,-1,2022-10-05.01:05:05
