model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,snum,assert,date
baidu,2141301,17794839,1,3,144.789830,100000,0,99.428592,107267,138588,352081,1439236,-1,400000,-1,2021-10-14.00:06:09
baidu,2141301,17794839,1,3,217.348916,100000,0,110.400319,106148,143134,876374,1274926,-1,800000,-1,2021-10-14.00:06:29
baidu,2141301,17794839,1,3,324.390702,100000,0,123.642961,98877,139889,1350048,1155427,-1,1600000,-1,2021-10-14.00:06:49
baidu,2141301,17794839,1,3,480.483510,100000,0,157.195821,102811,146735,3703579,1069786,-1,3200000,-1,2021-10-14.00:07:10
baidu,2141301,17794839,1,3,716.982938,100000,0,157.584763,99431,139186,4871027,965227,-1,6400000,-1,2021-10-14.00:07:32
baidu,2141301,17794839,1,3,1090.056443,100000,0,187.793329,97301,132177,7526230,850892,-1,12800000,-1,2021-10-14.00:07:55
baidu,2141301,17794839,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:08:12
baidu,2141301,17794839,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:08:29
baidu,2141301,17794839,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:08:46
dbpedia,3966925,13820853,1,3,119.008815,100000,0,147.136603,145699,148904,177671,2612618,-1,100000,-1,2021-10-14.00:08:57
dbpedia,3966925,13820853,1,3,158.655910,100000,0,116.933059,128833,136061,159628,2078007,-1,200000,-1,2021-10-14.00:09:08
dbpedia,3966925,13820853,1,3,216.915912,100000,0,106.442972,117442,130878,217462,1790765,-1,400000,-1,2021-10-14.00:09:19
dbpedia,3966925,13820853,1,3,314.181710,100000,0,97.393233,109557,127135,215141,1562432,-1,800000,-1,2021-10-14.00:09:30
dbpedia,3966925,13820853,1,3,470.409765,100000,0,106.650380,105216,126634,434751,1432774,-1,1600000,-1,2021-10-14.00:09:42
dbpedia,3966925,13820853,1,3,733.276416,100000,0,113.263010,101668,124568,614654,1319458,-1,3200000,-1,2021-10-14.00:09:55
