model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,assert,date
wiki-links,5710993,130160392,1,2,10195.971808,100000,0,1172.031455,185552,202090,55477635,0,-1,2021-08-19.21:05:23
wikitalk,2394385,5021410,1,2,983.589980,100000,0,633.915800,100012,105113,13349189,0,-1,2021-08-19.21:05:36
wiki_talk_en,2987536,24981163,1,2,1292.037394,100000,0,797.631677,99921,105722,21459510,0,-1,2021-08-19.21:05:57
ba-1m-8m,1000000,7999964,1,3,1116.909807,100000,0,319.046995,22035,166517,1838438,373417,-1,2021-08-19.21:06:03
baidu,2141301,17794839,1,3,1780.659048,100000,0,273.506120,98449,132112,9962255,813219,-1,2021-08-19.21:06:35
dbpedia,3966925,13820853,1,3,1982.874634,100000,0,143.145242,100507,126938,1547036,1109592,-1,2021-08-19.21:06:55
er-1m-8m,1000000,8000000,1,3,1456.104933,100000,0,110.387210,39186,66489,660921,435061,-1,2021-08-19.21:07:07
livej,4847571,68993773,1,3,5776.177626,100000,0,500.254893,114135,160940,11575709,784851,-1,2021-08-19.21:08:09
patent,6009555,16518948,1,3,3821.579383,100000,0,272.633487,107329,182618,2436466,1018738,-1,2021-08-19.21:08:48
pokec,1632804,30622564,1,3,2120.070587,100000,0,263.708678,85405,146742,5966616,719307,-1,2021-08-19.21:09:19
rmat-1m-8m,999760,7810950,1,3,701.909690,100000,0,559.991463,99499,132737,28770600,630724,-1,2021-08-19.21:09:24
ssca2,1048577,157877986,1,3,2244.283587,100000,0,11279.591396,1592786,1687953,126712294,11949863,-1,2021-08-19.21:10:48
wiki-links,5710993,130160392,1,3,10668.960020,100000,0,8629.942702,184349,214418,53985379,762660,-1,2021-08-19.21:13:37
wikitalk,2394385,5021410,1,3,659.149773,100000,0,348.085163,100567,109271,14745842,1073845,-1,2021-08-19.21:13:41
wiki_talk_en,2987536,24981163,1,3,915.834600,100000,0,472.045765,99937,109570,21837591,937292,-1,2021-08-19.21:13:50
ba-1m-8m,1000000,7999964,1,2,1101.086679,0,100000,331.472844,21900,0,153605,0,-1,2021-08-19.21:14:07
baidu,2141301,17794839,1,2,1589.535468,0,100000,456.418529,99000,0,6105856,0,-1,2021-08-19.21:14:40
dbpedia,3966925,13820853,1,2,2554.135130,0,100000,1167.114151,100680,0,1020246,0,-1,2021-08-19.21:15:05
er-1m-8m,1000000,8000000,1,2,1116.049296,0,100000,476.538904,39029,0,428952,0,-1,2021-08-19.21:15:29
