model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,relabel,tag,subtag,assert,Insert,Delete,date
rmat-1m-8m,-1,-1,1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1894.84,717.532,2022-09-22.17:15:50
wiki-links,5710993,130160392,1,4,8769.937947,100000,0,2258.898114,187714,217566,63776843,58,63,18535,-1,-1,-1,2022-09-22.17:18:33
wiki-links,5710993,130160392,1,4,8759.632529,0,100000,1860.426045,187714,0,56223559,0,0,0,-1,-1,-1,2022-09-22.17:21:07
wiki-links,-1,-1,1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3047.67,1048.89,2022-09-22.17:25:37
wikitalk,2394385,5021410,1,4,371.984276,100000,0,621.404778,100643,109450,14645967,3,3,5363,-1,-1,-1,2022-09-22.17:25:41
wikitalk,2394385,5021410,1,4,370.551243,0,100000,731.871661,100643,0,11054790,0,0,0,-1,-1,-1,2022-09-22.17:25:44
wikitalk,-1,-1,1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,826.138,344.73,2022-09-22.17:25:53
wiki_talk_en,2987536,24981163,1,4,658.370991,100000,0,1024.006583,101184,110831,25857504,1,1,5859,-1,-1,-1,2022-09-22.17:26:00
wiki_talk_en,2987536,24981163,1,4,660.131407,0,100000,1418.250162,101184,0,21311531,0,0,0,-1,-1,-1,2022-09-22.17:26:08
wiki_talk_en,-1,-1,1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2205.57,788.009,2022-09-22.17:26:25
ba-1m-8m,1000000,7999964,2,4,510.400951,100000,0,216.735229,22015,165964,1837847,0,0,89344,-1,-1,-1,2022-09-22.17:26:30
ba-1m-8m,1000000,7999964,2,4,483.809814,0,100000,40.555614,22018,0,153219,0,0,0,-1,-1,-1,2022-09-22.17:26:34
ba-1m-8m,-1,-1,2,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19881.4,238.741,2022-09-22.17:27:08
baidu,2141301,17794839,2,4,1457.614464,100000,0,290.365157,98107,131546,9489452,4,4,20722,-1,-1,-1,2022-09-22.17:27:39
baidu,2141301,17794839,2,4,1458.623077,0,100000,226.601251,98108,0,5754461,0,0,0,-1,-1,-1,2022-09-22.17:28:08
baidu,-1,-1,2,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,814.622,313.945,2022-09-22.17:28:40
dbpedia,3966925,13820853,2,4,1881.561844,100000,0,137.379261,100597,127401,1664712,15,15,16608,-1,-1,-1,2022-09-22.17:28:59
dbpedia,3966925,13820853,2,4,1882.037475,0,100000,600.673543,100875,0,905215,0,0,0,-1,-1,-1,2022-09-22.17:29:19
dbpedia,-1,-1,2,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,913.555,286.928,2022-09-22.17:29:48
er-1m-8m,1000000,8000000,2,4,775.367197,100000,0,63.618295,38999,65525,646249,0,0,15240,-1,-1,-1,2022-09-22.17:30:00
er-1m-8m,1000000,8000000,2,4,775.069193,0,100000,48.774089,38951,0,423704,0,0,0,-1,-1,-1,2022-09-22.17:30:10
er-1m-8m,-1,-1,2,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2057.6,199.396,2022-09-22.17:30:27
livej,4847571,68993773,2,4,4775.003092,100000,0,292.233751,114258,160026,11297274,6,6,27986,-1,-1,-1,2022-09-22.17:31:30
