model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,date
wikitalk,2394385,5021410,1,3,612.832016,100000,0,308.226657,100727,109556,14927146,1072953,2021-08-10.22:06:09
wiki_talk_en,2987536,24981163,1,3,889.568232,100000,0,432.832631,100183,109772,21563987,932552,2021-08-10.22:06:51
ba-1m-8m,1000000,7999964,1,2,778.797507,0,100000,334.808082,21937,0,0,0,2021-08-10.22:07:17
baidu,2141301,17794839,1,2,1651.597321,0,100000,447.847745,98877,0,0,0,2021-08-10.22:07:53
dbpedia,3966925,13820853,1,2,2164.636737,0,100000,963.845061,101066,0,0,0,2021-08-10.22:08:19
er-1m-8m,1000000,8000000,1,2,977.939850,0,100000,473.438904,39580,0,0,0,2021-08-10.22:08:51
livej,4847571,68993773,1,2,5133.241131,0,100000,445.355655,113607,0,0,0,2021-08-10.22:10:07
patent,6009555,16518948,1,2,3725.817098,0,100000,485.497671,107247,0,0,0,2021-08-10.22:11:03
pokec,1632804,30622564,1,2,2014.910238,0,100000,451.775721,85521,0,0,0,2021-08-10.22:11:43
rmat-1m-8m,999760,7810950,1,2,554.193745,0,100000,415.997417,99520,0,0,0,2021-08-10.22:11:48
ssca2,1048577,157877986,1,2,1372.566993,0,100000,2069.045379,1585706,0,0,0,2021-08-10.22:13:19
wiki-links,5710993,130160392,1,2,8978.342890,0,100000,1215.809077,190345,0,0,0,2021-08-10.22:16:18
wikitalk,2394385,5021410,1,2,825.240046,0,100000,453.826470,100732,0,0,0,2021-08-10.22:16:24
wiki_talk_en,2987536,24981163,1,2,1270.834669,0,100000,873.020687,101081,0,0,0,2021-08-10.22:16:35
ba-1m-8m,1000000,7999964,1,3,932.361371,0,100000,44.543372,22141,0,0,22141,2021-08-10.22:16:41
baidu,2141301,17794839,1,3,1609.460452,0,100000,301.300235,98813,0,0,98813,2021-08-10.22:17:13
dbpedia,3966925,13820853,1,3,1948.945611,0,100000,818.296324,101239,0,0,101239,2021-08-10.22:18:21
er-1m-8m,1000000,8000000,1,3,1181.824139,0,100000,50.766642,39582,0,0,39582,2021-08-10.22:18:33
