model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,assert,date
rmat-1m-8m,999760,7810950,1,2,418.751065,0,100000,351.929365,99503,0,40750492,0,-1,-1,2021-10-10.15:44:15
roadNetCA,1971281,5533214,1,2,605.706940,0,100000,183.065973,61600,0,193480,0,-1,-1,2021-10-10.15:44:22
ssca2,1048577,157877986,1,2,1001.734100,0,100000,1757.460170,1590911,0,240819790,0,-1,-1,2021-10-10.15:45:24
wiki-links,5710993,130160392,1,2,9271.108358,0,100000,1101.873238,188706,0,99544454,0,-1,-1,2021-10-10.15:47:43
wikitalk,2394385,5021410,1,2,533.963082,0,100000,393.480439,100598,0,22524366,0,-1,-1,2021-10-10.15:47:47
wiki_talk_en,2987536,24981163,1,2,752.168125,0,100000,744.713690,101108,0,42149278,0,-1,-1,2021-10-10.15:47:56
ba-1m-8m,1000000,7999964,1,3,555.901747,100000,0,158.513325,22169,166722,1856147,358468,-1,-1,2021-10-10.15:48:02
baidu,2141301,17794839,1,3,1291.052301,100000,0,263.737906,103224,138015,14664754,816743,-1,-1,2021-10-10.15:48:26
dbpedia,3966925,13820853,1,3,1503.693470,100000,0,128.446335,100570,127963,1654749,1114379,-1,-1,2021-10-10.15:48:42
er-1m-8m,1000000,8000000,1,3,865.250843,100000,0,83.419345,39510,66758,664169,434218,-1,-1,2021-10-10.15:48:51
livej,4847571,68993773,1,3,4637.018769,100000,0,247.965492,113227,159538,11497181,772374,-1,-1,2021-10-10.15:49:41
patent,6009555,16518948,1,3,3241.440134,100000,0,201.343057,108250,185159,2596335,1014456,-1,-1,2021-10-10.15:50:13
pokec,1632804,30622564,1,3,1718.879195,100000,0,196.527300,86005,147800,6105186,714890,-1,-1,2021-10-10.15:50:37
rmat-1m-8m,999760,7810950,1,3,380.418923,100000,0,262.448709,99503,133417,28866258,632690,-1,-1,2021-10-10.15:50:42
roadNetCA,1971281,5533214,1,3,509.812367,100000,0,100.987097,61600,255565,626741,929651,-1,-1,2021-10-10.15:50:45
ssca2,1048577,157877986,1,3,950.613478,100000,0,2374.978540,1590911,1683819,126220656,11985262,-1,-1,2021-10-10.15:51:41
wiki-links,5710993,130160392,1,3,9040.722711,100000,0,805.556381,188706,219217,58577630,772250,-1,-1,2021-10-10.15:53:51
wikitalk,2394385,5021410,1,3,421.299401,100000,0,227.829003,100598,109792,15175491,1088243,-1,-1,2021-10-10.15:53:54
wiki_talk_en,2987536,24981163,1,3,627.208897,100000,0,336.538534,101108,111019,25759234,950867,-1,-1,2021-10-10.15:54:01
ba-1m-8m,1000000,7999964,1,13,559.107031,100000,0,234.385497,22169,156375,1711731,104530,4,-1,2021-10-10.15:54:07
baidu,2141301,17794839,1,13,1288.023747,100000,0,266.160421,103224,127719,12499728,117164,5,-1,2021-10-10.15:54:32
dbpedia,3966925,13820853,1,13,1508.938407,100000,0,150.281933,100570,124615,1495278,114833,3,-1,2021-10-10.15:54:48
er-1m-8m,1000000,8000000,1,13,861.702319,100000,0,119.344241,39510,62720,631097,53556,5,-1,2021-10-10.15:54:57
livej,4847571,68993773,1,13,4637.958695,100000,0,305.789776,113227,153761,10841714,137137,4,-1,2021-10-10.15:55:47
patent,6009555,16518948,1,13,3241.237639,100000,0,253.278534,108250,173738,2294168,150209,3,-1,2021-10-10.15:56:19
pokec,1632804,30622564,1,13,1708.040662,100000,0,220.806721,86005,133781,5233523,115131,4,-1,2021-10-10.15:56:43
rmat-1m-8m,999760,7810950,1,13,383.190038,100000,0,259.937775,99503,117942,23441922,109649,9,-1,2021-10-10.15:56:48
roadNetCA,1971281,5533214,1,13,510.131283,100000,0,154.980945,61600,231562,563492,187250,4,-1,2021-10-10.15:56:51
ssca2,1048577,157877986,1,13,950.717303,100000,0,1860.497167,1590911,1594753,120722357,2362851,5,-1,2021-10-10.15:57:46
wiki-links,5710993,130160392,1,13,9035.730209,100000,0,910.290658,188706,211804,53970970,201977,6,-1,2021-10-10.15:59:56
wikitalk,2394385,5021410,1,13,422.202383,100000,0,189.480265,100598,105590,12774986,103359,10,-1,2021-10-10.16:00:00
wiki_talk_en,2987536,24981163,1,13,623.774542,100000,0,318.929713,101108,106198,22822995,103885,9,-1,2021-10-10.16:00:07
ba-1m-8m,1000000,7999964,1,2,635.149296,100000,0,1221.183055,22169,111826,1856147,0,-1,-1,2021-10-10.16:00:24
baidu,2141301,17794839,1,2,1354.342848,100000,0,449.968402,103224,124604,14516134,0,-1,-1,2021-10-10.16:00:50
dbpedia,3966925,13820853,1,2,1629.042250,100000,0,320.322224,100570,117176,1633197,0,-1,-1,2021-10-10.16:01:09
er-1m-8m,1000000,8000000,1,2,930.939902,100000,0,331.287311,39510,55197,664169,0,-1,-1,2021-10-10.16:01:28
livej,4847571,68993773,1,2,4720.281390,100000,0,507.527070,113227,141218,11470203,0,-1,-1,2021-10-10.16:02:23
patent,6009555,16518948,1,2,3377.895461,100000,0,679.734446,108250,158743,2491086,0,-1,-1,2021-10-10.16:03:04
pokec,1632804,30622564,1,2,1770.635863,100000,0,522.594194,86005,126140,6073015,0,-1,-1,2021-10-10.16:03:32
rmat-1m-8m,999760,7810950,1,2,417.796657,100000,0,338.030577,99503,119821,28592004,0,-1,-1,2021-10-10.16:03:37
roadNetCA,1971281,5533214,1,2,597.886309,100000,0,456.063419,61600,203582,616519,0,-1,-1,2021-10-10.16:03:43
ssca2,1048577,157877986,1,2,1017.930204,100000,0,2184.668665,1590911,1652979,125454988,0,-1,-1,2021-10-10.16:04:46
wiki-links,5710993,130160392,1,2,9240.920262,100000,0,1056.164314,188706,206642,57364389,0,-1,-1,2021-10-10.16:07:05
wikitalk,2394385,5021410,1,2,533.662167,100000,0,307.364451,100598,106032,14884718,0,-1,-1,2021-10-10.16:07:09
wiki_talk_en,2987536,24981163,1,2,748.140732,100000,0,461.878836,101108,106983,25543540,0,-1,-1,2021-10-10.16:07:18
ba-1m-8m,1000000,7999964,1,3,543.446722,0,100000,35.169716,22169,0,155486,22169,-1,-1,2021-10-10.16:07:23
baidu,2141301,17794839,1,3,1287.918249,0,100000,323.754820,103224,0,10444020,103224,-1,-1,2021-10-10.16:07:48
dbpedia,3966925,13820853,1,3,1504.183861,0,100000,565.026693,100570,0,939013,100570,-1,-1,2021-10-10.16:08:04
er-1m-8m,1000000,8000000,1,3,862.363691,0,100000,39.205967,39510,0,435368,39510,-1,-1,2021-10-10.16:08:13
livej,4847571,68993773,1,3,4640.518657,0,100000,192.897075,113227,0,8789288,113227,-1,-1,2021-10-10.16:09:03
patent,6009555,16518948,1,3,3248.891530,0,100000,85.551441,108250,0,1528766,108250,-1,-1,2021-10-10.16:09:35
pokec,1632804,30622564,1,3,1742.939550,0,100000,119.205513,86005,0,3446772,86005,-1,-1,2021-10-10.16:09:59
rmat-1m-8m,999760,7810950,1,3,383.322654,0,100000,362.815236,99503,0,20375246,99503,-1,-1,2021-10-10.16:10:04
roadNetCA,1971281,5533214,1,3,517.450472,0,100000,21.391706,61600,0,96740,61600,-1,-1,2021-10-10.16:10:07
ssca2,1048577,157877986,1,3,942.070447,0,100000,1069.553591,1590911,0,120409895,1590911,-1,-1,2021-10-10.16:11:02
wiki-links,5710993,130160392,1,3,9071.368370,0,100000,1003.868714,188706,0,49772227,188706,-1,-1,2021-10-10.16:13:12
wikitalk,2394385,5021410,1,3,424.053310,0,100000,342.479000,100598,0,11262183,100598,-1,-1,2021-10-10.16:13:16
wiki_talk_en,2987536,24981163,1,3,628.078421,0,100000,717.930855,101108,0,21074639,101108,-1,-1,2021-10-10.16:13:23
ba-1m-8m,1000000,7999964,1,2,642.854763,0,100000,259.259894,22169,0,310972,0,-1,-1,2021-10-10.16:13:38
baidu,2141301,17794839,1,2,1346.785865,0,100000,430.818931,103224,0,20888040,0,-1,-1,2021-10-10.16:14:04
dbpedia,3966925,13820853,1,2,1625.978397,0,100000,835.113394,100570,0,1878026,0,-1,-1,2021-10-10.16:14:24
er-1m-8m,1000000,8000000,1,2,934.379839,0,100000,381.754037,39510,0,870736,0,-1,-1,2021-10-10.16:14:42
livej,4847571,68993773,1,2,4703.451147,0,100000,360.314411,113227,0,17578576,0,-1,-1,2021-10-10.16:15:38
patent,6009555,16518948,1,2,3400.079519,0,100000,376.910962,108250,0,3057532,0,-1,-1,2021-10-10.16:16:19
pokec,1632804,30622564,1,2,1778.469905,0,100000,342.271715,86005,0,6893544,0,-1,-1,2021-10-10.16:16:46
rmat-1m-8m,999760,7810950,1,2,419.495084,0,100000,353.475611,99503,0,40750492,0,-1,-1,2021-10-10.16:16:52
roadNetCA,1971281,5533214,1,2,603.338181,0,100000,183.668978,61600,0,193480,0,-1,-1,2021-10-10.16:16:58
ssca2,1048577,157877986,1,2,1000.345558,0,100000,1753.454371,1590911,0,240819790,0,-1,-1,2021-10-10.16:18:00
wiki-links,5710993,130160392,1,2,9243.374253,0,100000,1098.629190,188706,0,99544454,0,-1,-1,2021-10-10.16:20:19
wikitalk,2394385,5021410,1,2,533.516150,0,100000,393.295640,100598,0,22524366,0,-1,-1,2021-10-10.16:20:23
wiki_talk_en,2987536,24981163,1,2,751.561070,0,100000,745.130239,101108,0,42149278,0,-1,-1,2021-10-10.16:20:32
ba-1m-8m,1000000,7999964,1,3,554.051082,100000,0,158.332658,22169,166722,1856147,358468,-1,-1,2021-10-10.16:20:38
baidu,2141301,17794839,1,3,1284.956927,100000,0,261.793117,103224,138015,14664754,816743,-1,-1,2021-10-10.16:21:02
dbpedia,3966925,13820853,1,3,1505.178358,100000,0,128.492829,100570,127963,1654749,1114379,-1,-1,2021-10-10.16:21:18
er-1m-8m,1000000,8000000,1,3,869.495655,100000,0,83.391815,39510,66758,664169,434218,-1,-1,2021-10-10.16:21:27
livej,4847571,68993773,1,3,4638.358965,100000,0,248.436044,113227,159538,11497181,772374,-1,-1,2021-10-10.16:22:17
patent,6009555,16518948,1,3,3238.232603,100000,0,201.305762,108250,185159,2596335,1014456,-1,-1,2021-10-10.16:22:49
pokec,1632804,30622564,1,3,1707.054300,100000,0,196.305107,86005,147800,6105186,714890,-1,-1,2021-10-10.16:23:13
rmat-1m-8m,999760,7810950,1,3,382.146979,100000,0,262.841949,99503,133417,28866258,632690,-1,-1,2021-10-10.16:23:18
roadNetCA,1971281,5533214,1,3,510.215702,100000,0,100.568039,61600,255565,626741,929651,-1,-1,2021-10-10.16:23:21
ssca2,1048577,157877986,1,3,952.385525,100000,0,2372.216295,1590911,1683819,126220656,11985262,-1,-1,2021-10-10.16:24:17
wiki-links,5710993,130160392,1,3,9054.159909,100000,0,805.639172,188706,219217,58577630,772250,-1,-1,2021-10-10.16:26:27
wikitalk,2394385,5021410,1,3,421.134818,100000,0,227.539115,100598,109792,15175491,1088243,-1,-1,2021-10-10.16:26:30
wiki_talk_en,2987536,24981163,1,3,629.436967,100000,0,335.939066,101108,111019,25759234,950867,-1,-1,2021-10-10.16:26:37
ba-1m-8m,1000000,7999964,1,13,552.997218,100000,0,233.571434,22169,156375,1711731,104530,4,-1,2021-10-10.16:26:43
baidu,2141301,17794839,1,13,1288.234482,100000,0,266.311985,103224,127719,12499728,117164,5,-1,2021-10-10.16:27:08
dbpedia,3966925,13820853,1,13,1501.955574,100000,0,149.546115,100570,124615,1495278,114833,3,-1,2021-10-10.16:27:24
